Gender,Height,Origin,Hand,Age,Aces,Double Faults,Breakpoints Won,Match Outcome
Men,180-184,ESP,R,30-34,1-3,1-3,1-4,Winner
Men,195+,RUS,R,25-29,4-6,4-6,<=0,Winner
Men,185-189,CAN,L,20-24,>6,>6,5-8,Winner
Men,180-184,NOR,R,20-24,1-3,1-3,1-4,Winner
Men,185-189,SRB,R,40+,>6,<=0,1-4,Winner
Men,185-189,CHI,R,25-29,4-6,1-3,>12,Winner
Men,185-189,SRB,R,40+,4-6,1-3,5-8,Winner
Men,180-184,ESP,R,30-34,1-3,<=0,1-4,Winner
Men,185-189,ESP,R,30-34,4-6,1-3,1-4,Winner
Men,180-184,NOR,R,20-24,4-6,1-3,1-4,Winner
Men,185-189,CHI,L,40+,>6,<=0,1-4,Winner
Men,180-184,ESP,R,30-34,1-3,<=0,<=0,Winner
Men,185-189,ESP,R,30-34,>6,<=0,<=0,Winner
Men,180-184,ESP,R,30-34,1-3,1-3,1-4,Winner
Men,185-189,ESP,R,30-34,1-3,4-6,5-8,Winner
Men,195+,RUS,R,25-29,>6,1-3,1-4,Winner
Men,185-189,ITA,R,20-24,>6,1-3,9-12,Winner
Men,185-189,FRA,L,20-24,1-3,1-3,9-12,Winner
Men,185-189,RUS,R,40+,1-3,>6,>12,Winner
Men,195+,RUS,R,25-29,>6,1-3,1-4,Winner
Men,185-189,RUS,R,40+,>6,1-3,5-8,Winner
Men,195+,ITA,R,25-29,>6,1-3,<=0,Winner
Men,185-189,ITA,R,20-24,1-3,1-3,1-4,Winner
Men,180-184,AUS,R,20-24,1-3,1-3,1-4,Winner
Men,185-189,ITA,R,20-24,4-6,<=0,1-4,Winner
Men,180-184,AUS,R,20-24,4-6,<=0,1-4,Winner
Men,195+,FRA,R,25-29,>6,<=0,5-8,Winner
Men,190-194,CAN,R,20-24,>6,1-3,9-12,Winner
Men,185-189,CAN,L,20-24,>6,1-3,5-8,Winner
Men,195+,GER,R,40+,4-6,1-3,1-4,Winner
Men,175-179,GBR,R,30-34,4-6,1-3,<=0,Winner
Men,195+,GER,R,40+,>6,1-3,1-4,Winner
Men,190-194,GER,R,30-34,>6,4-6,5-8,Winner
Men,190-194,CAN,R,20-24,>6,>6,5-8,Winner
Men,175-179,GBR,R,30-34,4-6,<=0,<=0,Winner
Men,190-194,USA,R,40+,>6,1-3,1-4,Winner
Men,195+,USA,R,35-39,>6,<=0,1-4,Winner
Men,190-194,USA,R,40+,>6,1-3,5-8,Winner
Men,175-179,GBR,R,30-34,4-6,1-3,<=0,Winner
Men,180-184,POL,R,25-29,1-3,1-3,1-4,Winner
Men,170-174,ARG,R,40+,1-3,1-3,1-4,Winner
Men,190-194,ARG,L,30-34,1-3,1-3,1-4,Winner
Men,190-194,GRE,R,20-24,4-6,1-3,<=0,Winner
Men,190-194,CYP,R,25-29,4-6,1-3,<=0,Winner
Men,195+,POL,R,40+,>6,1-3,1-4,Winner
Men,180-184,POL,R,25-29,4-6,1-3,5-8,Winner
Men,195+,POL,R,40+,>6,<=0,<=0,Winner
Men,170-174,ARG,R,40+,4-6,1-3,1-4,Winner
Men,190-194,ARG,L,30-34,4-6,1-3,1-4,Winner
Men,190-194,FRA,R,35-39,4-6,<=0,1-4,Winner
Men,190-194,FRA,R,35-39,>6,1-3,1-4,Winner
Men,195+,RUS,R,25-29,4-6,1-3,1-4,Winner
Men,190-194,FRA,R,35-39,4-6,4-6,1-4,Winner
Men,195+,AUS,R,25-29,>6,1-3,1-4,Winner
Men,195+,CRO,R,30-34,>6,1-3,<=0,Winner
Men,195+,RUS,R,25-29,>6,1-3,5-8,Winner
Men,190-194,FRA,R,35-39,4-6,1-3,1-4,Winner
Men,185-189,USA,R,40+,>6,4-6,1-4,Winner
Men,195+,AUS,R,25-29,>6,1-3,5-8,Winner
Men,180-184,SWE,R,20-24,4-6,1-3,5-8,Winner
